"page","name","category","address","X5star","X4star","X3star","X2star","X1star","monday","tuesday","wednesday","thursday","friday","saturday","sunday","wifi_rate","TV_rate","noise_rate","alcohol_rate","seating_rate","takeout_rate","creditcard_rate","rate","numberrate","reservation_rate","delivery_rate","yelp_rating"
20,"Kendall Kitchen","Sandwiches","201 Broadway Cambridge, MA 02139",4,17,8,4,1,"null","null","null","null","null","null","null",1,0,0,0,0,1,1,3.55882352941176,34,0,0,3.5
20,"Go! Go! Curry!","Japanese","581 Massachusetts Ave Cambridge, MA 02139",4,14,15,8,2,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm",0,0,1,0,0,1,1,3.23255813953488,43,0,0,3
20,"Hong Kong At Harvard Square","Chinese","1238 Massachusetts Ave Cambridge, MA 02138",36,84,130,72,76,"11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:30 am","11:30 am - 3:00 am","11:30 am - 3:00 am","11:30 am - 2:00 am",0,0,1,1,0,1,1,2.82914572864322,398,0,1,3
20,"Cambridge Pizzeria","Pizza","263 Brookline St Cambridge, MA 02139",8,8,2,2,3,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm",0,1,0,0,1,1,1,3.69565217391304,23,0,1,3.5
20,"Mass Ave Diner","Diners","906 Massachusetts Ave Cambridge, MA 02139",38,57,28,10,10,"6:30 am - 4:00 pm","6:30 am - 4:00 pm","6:30 am - 10:00 pm","6:30 am - 10:00 pm","6:30 am - 10:15 pm","7:30 am - 10:15 pm","7:30 am - 4:45 pm",0,1,0,1,0,1,1,3.72027972027972,143,0,1,3.5
20,"El JefeÍs Taqueria","Mexican","83 Mt Auburn St Cambridge, MA 02138",17,9,3,3,9,"8:00 am - 4:00 am","8:00 am - 4:00 am","8:00 am - 4:00 am","8:00 am - 4:00 am","8:00 am - 4:00 am","8:00 am - 4:00 am","8:00 am - 4:00 am",0,0,0,0,0,1,1,3.53658536585366,41,0,0,3.5
20,"VO2 Vegan Cafe","Vegan","1001 Massachusetts Ave Cambridge, MA 02138",29,12,5,3,4,"8:00 am - 6:00 pm","8:00 am - 6:00 pm","8:00 am - 6:00 pm","8:00 am - 6:00 pm","8:00 am - 6:00 pm","8:00 am - 6:00 pm","8:00 am - 6:00 pm",1,0,0,0,1,1,1,4.11320754716981,53,0,0,4
20,"VelozoÍs Food Service","Food Stands","Divinity Ave Cambridge, MA 02138",5,0,0,0,0,"null","null","null","null","null","null","null",0,0,0,0,0,1,1,5,5,0,0,5
20,"Shawarma Shack","Moroccan","Stratton Student Center 84 Massachusetts Ave Cambridge, MA 02139",4,5,2,0,0,"11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","Closed","11:00 am - 8:00 pm",0,0,0,0,0,1,1,4.18181818181818,11,0,0,4
20,"S & S Restaurant & Deli Inc","Delis","1334 Cambridge St Cambridge, MA 02139",75,184,136,72,43,"7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 11:00 pm","8:00 am - 11:00 pm","8:00 am - 11:00 pm","8:00 am - 10:00 pm",0,0,0,1,0,1,1,3.34509803921569,510,1,0,3.5
