"","page","name","category","address","X5star","X4star","X3star","X2star","X1star","monday","tuesday","wednesday","thursday","friday","saturday","sunday","wifi_rate","TV_rate","noise_rate","alcohol_rate","seating_rate","reservation_rate","delivery_rate","takeout_rate","creditcard_rate","rate","numberrate","normalrate"
"915",92,"Angora Cafe","Cafe","1024 Commonwealth Ave Boston, MA 02215",46,85,53,44,40,"8:00 am - 12:00 am","8:00 am - 12:00 am","8:00 am - 12:00 am","8:00 am - 12:00 am","8:00 am - 12:00 am","9:00 am - 12:00 am","9:00 am - 12:00 am",1,0,0,0,1,0,1,1,1,3.19776119402985,268,-0.544016805970149
"916",92,"The Dog House","Hot Dogs","1 Faneuil Hall Marketplace Boston, MA 02109",1,3,0,0,0,"null","null","null","null","null","null","null",0,1,0,0,1,0,0,0,0,4.25,4,0.508222
"917",92,"Samurai Express","Japanese","31 St James Ave Boston, MA 02116",6,19,7,4,4,"10:30 am - 9:00 pm","10:30 am - 9:00 pm","10:30 am - 9:00 pm","10:30 am - 9:00 pm","10:30 am - 9:00 pm","11:00 am - 4:00 pm","Closed",0,0,0,0,0,0,1,1,1,3.475,40,-0.266778
"918",92,"Taste of the Town","Sandwiches","60 State St Boston, MA 02109",1,4,2,0,0,"null","null","null","null","null","null","null",0,0,0,0,1,0,1,1,0,3.85714285714286,7,0.115364857142857
"919",92,"Five Guys Burgers and Fries","Burgers","58 Summer St Boston, MA 02110",19,22,17,12,5,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm",0,0,0,0,0,0,0,1,1,3.50666666666667,75,-0.235111333333333
"920",92,"CaskÕn Flagon","Sports Bars","62 Brookline Ave Boston, MA 02215",60,128,92,60,42,"11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","24","",1,1,1,1,1,1,0,1,1,3.27225130890052,382,-0.469526691099476
"921",93,"Flat Black Coffee Company","Cafe","260 Franklin St Boston, MA 02110",6,8,0,0,0,"6:30 am - 5:00 pm","6:30 am - 5:00 pm","6:30 am - 5:00 pm","6:30 am - 5:00 pm","6:30 am - 5:00 pm","Closed","Closed",0,0,0,0,0,0,0,1,1,4.42857142857143,14,0.686793428571429
"922",93,"Haymarket Pizza","Pizza","106 Blackstone St Boston, MA 02109",35,27,17,6,4,"9:00 am - 7:30 pm","9:00 am - 7:30 pm","9:00 am - 7:30 pm","9:00 am - 7:30 pm","9:00 am - 7:30 pm","8:00 am - 6:00 pm","Closed",0,1,1,0,0,0,0,1,0,3.93258426966292,89,0.190806269662921
"923",93,"Downtown Harvard Club of Boston","Venues & Event Spaces","Downtown Club 1 Federal St Boston, MA 02110",6,14,7,3,0,"7:00 am - 9:00 pm","7:00 am - 9:00 pm","7:00 am - 9:00 pm","7:00 am - 9:00 pm","7:00 am - 9:00 pm","Closed","Closed",1,1,0,1,0,1,0,0,1,3.76666666666667,30,0.0248886666666666
"924",93,"RebeccaÕs Cafe","Sandwiches","500 Boylston St Boston, MA 02116",3,20,14,5,1,"null","null","null","null","null","null","null",1,0,0,0,0,0,1,1,1,3.44186046511628,43,-0.299917534883721
"925",93,"Tasty Burger","Burgers","69 L St Boston, MA 02127",14,22,9,19,26,"11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 12:00 am","11:00 am - 12:00 am","11:00 am - 11:00 pm",0,0,0,0,0,0,1,1,1,2.76666666666667,90,-0.975111333333333
"926",93,"PS Gourmet Coffee","Coffee & Tea","106 Dorchester St Boston, MA 02127",37,29,6,4,3,"6:00 am - 10:00 pm","6:00 am - 10:00 pm","6:00 am - 10:00 pm","6:00 am - 10:00 pm","6:00 am - 10:00 pm","6:00 am - 10:00 pm","6:00 am - 8:00 pm",1,0,0,0,0,0,0,1,0,4.17721518987342,79,0.435437189873418
"927",93,"SusanÕs Deli of Course","Delis","695 Atlantic Ave Boston, MA 02111",8,24,9,13,6,"5:00 am - 4:00 pm","5:00 am - 4:00 pm","5:00 am - 4:00 pm","5:00 am - 4:00 pm","5:00 am - 4:00 pm","Closed","Closed",0,0,0,0,0,0,0,1,1,3.25,60,-0.491778
"928",93,"Bella Vista","Italian","288 Hanover St Boston, MA 02113",37,54,21,19,19,"null","null","null","null","null","null","null",0,0,0,1,0,1,0,1,1,3.47333333333333,150,-0.268444666666667
"929",93,"Scali Cafe","Burgers","147 Pearl St Boston, MA 02110",10,14,10,4,3,"7:00 am - 3:00 pm","7:00 am - 3:00 pm","7:00 am - 3:00 pm","7:00 am - 3:00 pm","7:00 am - 3:00 pm","7:00 am - 1:00 pm","Closed",0,0,0,0,0,0,1,1,0,3.58536585365854,41,-0.156412146341463
"930",93,"Chipotle Mexican Grill","Mexican","101 Summer St Boston, MA 02210",13,17,11,17,10,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm",0,0,0,0,0,0,0,1,1,3.08823529411765,68,-0.653542705882353
"931",94,"Boloco Northeastern","Fast Food","Marino Center, Northeastern University 359 Huntington Ave Boston, MA 02115",32,40,30,16,7,"10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm",1,0,0,0,1,0,0,1,1,3.592,125,-0.149778
"932",94,"Jerry RemyÕs Sports Bar & Grill","American (Traditional)","250 Northern Ave Boston, MA 02210",18,54,66,94,108,"11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am",0,1,1,1,1,1,0,1,1,2.35294117647059,340,-1.38883682352941
"933",94,"LollyÕs Bakery","Bakery","158 Bennington St Boston, MA 02128",3,1,0,0,0,"6:30 am - 8:30 pm","6:30 am - 8:30 pm","6:30 am - 8:30 pm","6:30 am - 8:30 pm","6:30 am - 8:30 pm","6:30 am - 8:00 pm","Closed",0,1,0,0,1,0,1,0,1,4.75,4,1.008222
"934",94,"Peach Farm","Chinese","4 Tyler St Boston, MA 02111",80,150,63,27,51,"11:00 am - 3:00 am","11:00 am - 3:00 am","11:00 am - 3:00 am","11:00 am - 3:00 am","11:00 am - 3:00 am","11:00 am - 3:00 am","11:00 am - 3:00 am",0,0,0,1,0,0,0,1,1,3.48787061994609,371,-0.253907380053908
